id,name,country,type
1,Florian Mueller,deutsch,1
33,Fabian Bredlow,deutsch,1
42,Florian Schock,deutsch,1
5,Konstantinos Mavropanos,griechisch,1
2,Waldemar Anton,deutsch,1
37,Hiroki Ito,japanisch,1
24,Borna Sosa,kroatisch,1
15,Pascal Stenzel,deutsch,1
23,Orel Mangala,belgisch,1
3,Wataru Endo,japanisch,1
16,Atakan Tarazor,deutsch,1
32,Naouirou Ahamada,franzoesisch,1
6,Clinton Mola,englisch,1
8,Enzo Millot,franzoesisch,1
28,Nicolas Nartey,daenisch,1
14,Silas Katompa Mvumpa,kongolesisch,1
30,Roberto Massimo,deutsch,1
11,Erik Thommy,deutsch,1
20,Phillip Förster,deutsch,1
31,Mateo Klimowicz,deutsch,1
25,Lilian Engloff,deutsch,1
34,Ömer Beyaz,tuerkisch,1
10,Daniel Didavi,deutsch,1
7,Tanguy Coulibaly,franzoesisch,1
22,Chris Führich,deutsch,1
9,Sasa Kalajdzic,oesterreichisch,1
18,Tiago Tomás,portugiesisch,1
17,Omar Marmoush,aegyptisch,1
19,Wahid Faghir,daenisch,1
50,Alexis Tibidi,franzoesisch,1
44,Mohamed Sankho,niederlaendisch,1
